node	source	licence	licence_receipt	texts
abbasid-arabic	ar.wikisource.org: منهاج السنة النبوية	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: موطأ الإمام مالك	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: نزهة المشتاق في اختراق الآفاق	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: هداية الحيارى	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
tenochtitlan-nahuatl	Internet Archive: Ayer_PA3855N34_S34_1895	public domain	https://archive.org/details/Ayer_PA3855N34_S34_1895	4
tenochtitlan-nahuatl	Internet Archive: Ayer_PM4061_C67_1840	public domain	https://archive.org/details/Ayer_PM4061_C67_1840	2
tenochtitlan-nahuatl	Internet Archive: Ayer_PM4061_D48_1842	public domain	https://archive.org/details/Ayer_PM4061_D48_1842	4
tenochtitlan-nahuatl	Internet Archive: Ayer_PM4061_L46_1837	public domain	https://archive.org/details/Ayer_PM4061_L46_1837	2
tenochtitlan-nahuatl	Internet Archive: analisisgramatic00rosa	public domain	https://archive.org/details/analisisgramatic00rosa	4
tenochtitlan-nahuatl	Internet Archive: ancientnahuatlpo00brinrich	public domain	https://archive.org/details/ancientnahuatlpo00brinrich	4
tenochtitlan-nahuatl	Internet Archive: annalesdedoming00simgoog	public domain	https://archive.org/details/annalesdedoming00simgoog	4
tenochtitlan-nahuatl	Internet Archive: apologiaydeclara00osso	public domain	https://archive.org/details/apologiaydeclara00osso	3
tenochtitlan-nahuatl	Internet Archive: artedelenguamexi00vzqu	public domain	https://archive.org/details/artedelenguamexi00vzqu	3
tenochtitlan-nahuatl	Internet Archive: artedelenguamexi01vzqu	public domain	https://archive.org/details/artedelenguamexi01vzqu	3
tenochtitlan-nahuatl	Internet Archive: ayer_871_a953_V3_1726	public domain	https://archive.org/details/ayer_871_a953_V3_1726	3
tenochtitlan-nahuatl	Internet Archive: ayer_871_a9545_a9545_p2_1759	public domain	https://archive.org/details/ayer_871_a9545_a9545_p2_1759	4
tenochtitlan-nahuatl	Internet Archive: ayer_871_a9545_b2_1606	public domain	https://archive.org/details/ayer_871_a9545_b2_1606	6
tenochtitlan-nahuatl	Internet Archive: ayer_871_a9545_m6_1607	public domain	https://archive.org/details/ayer_871_a9545_m6_1607	6
tenochtitlan-nahuatl	Internet Archive: ayer_871_a955_c35_a5_1634	public domain	https://archive.org/details/ayer_871_a955_c35_a5_1634	3
tenochtitlan-nahuatl	Internet Archive: ayer_pm_4068_4_c5_a6_1800z	public domain	https://archive.org/details/ayer_pm_4068_4_c5_a6_1800z	2
tenochtitlan-nahuatl	Internet Archive: brevepracticayre00velz	public domain	https://archive.org/details/brevepracticayre00velz	3
tenochtitlan-nahuatl	Internet Archive: caminodelcieloen01lenm	public domain	https://archive.org/details/caminodelcieloen01lenm	3
tenochtitlan-nahuatl	Internet Archive: catecismobrevequ00vzqu	public domain	https://archive.org/details/catecismobrevequ00vzqu	4
tenochtitlan-nahuatl	Internet Archive: catecismodeladoc00ripa	public domain	https://archive.org/details/catecismodeladoc00ripa	1
tenochtitlan-nahuatl	Internet Archive: cathecismobreveq00vzqu	public domain	https://archive.org/details/cathecismobreveq00vzqu	3
tenochtitlan-nahuatl	Internet Archive: cathecismoromano00cath	public domain	https://archive.org/details/cathecismoromano00cath	3
tenochtitlan-nahuatl	Internet Archive: cathecismoromano00cath_0	public domain	https://archive.org/details/cathecismoromano00cath_0	3
tenochtitlan-nahuatl	Internet Archive: claraysucintaexp00mexi	public domain	https://archive.org/details/claraysucintaexp00mexi	2
tenochtitlan-nahuatl	Internet Archive: claraysucintaexp01pueb	public domain	https://archive.org/details/claraysucintaexp01pueb	1
tenochtitlan-nahuatl	Internet Archive: codiceaubinmanus00unse	public domain	https://archive.org/details/codiceaubinmanus00unse	3
tenochtitlan-nahuatl	Internet Archive: colloquiosdelapa00gaon	public domain	https://archive.org/details/colloquiosdelapa00gaon	3
tenochtitlan-nahuatl	Internet Archive: confessionarioen01juan	public domain	https://archive.org/details/confessionarioen01juan	4
tenochtitlan-nahuatl	Internet Archive: depsalmodiachris00saha	public domain	https://archive.org/details/depsalmodiachris00saha	3
tenochtitlan-nahuatl	Internet Archive: doctrinachristia00moli_1	public domain	https://archive.org/details/doctrinachristia00moli_1	3
tenochtitlan-nahuatl	Internet Archive: donfranciscoxavi00spai	public domain	https://archive.org/details/donfranciscoxavi00spai	2
tenochtitlan-nahuatl	Internet Archive: elevangeliodeslu00pazy	public domain	https://archive.org/details/elevangeliodeslu00pazy	2
tenochtitlan-nahuatl	Internet Archive: evangeliariumepi00cath	public domain	https://archive.org/details/evangeliariumepi00cath	2
tenochtitlan-nahuatl	Internet Archive: explicacinclaray00unse	public domain	https://archive.org/details/explicacinclaray00unse	1
tenochtitlan-nahuatl	Internet Archive: gpl_6239911	public domain	https://archive.org/details/gpl_6239911	2
tenochtitlan-nahuatl	Internet Archive: grammairedelalan00olmouoft	public domain	https://archive.org/details/grammairedelalan00olmouoft	3
tenochtitlan-nahuatl	Internet Archive: gri_000033125008483931	public domain	https://archive.org/details/gri_000033125008483931	1
tenochtitlan-nahuatl	Internet Archive: huehuetlahtolliq00juan	public domain	https://archive.org/details/huehuetlahtolliq00juan	3
tenochtitlan-nahuatl	Internet Archive: hueitlamahuiolti00lass	public domain	https://archive.org/details/hueitlamahuiolti00lass	3
tenochtitlan-nahuatl	Internet Archive: lavidaymilagrosd00sena	public domain	https://archive.org/details/lavidaymilagrosd00sena	1
tenochtitlan-nahuatl	Internet Archive: librodelamiseria01juan	public domain	https://archive.org/details/librodelamiseria01juan	3
tenochtitlan-nahuatl	Internet Archive: manualmexicanode00cath	public domain	https://archive.org/details/manualmexicanode00cath	3
tenochtitlan-nahuatl	Internet Archive: meditacionesdels00leon	public domain	https://archive.org/details/meditacionesdels00leon	2
tenochtitlan-nahuatl	Internet Archive: oracionpanegyric00ruiz	public domain	https://archive.org/details/oracionpanegyric00ruiz	3
tenochtitlan-nahuatl	Internet Archive: primerapartedels00lenf	public domain	https://archive.org/details/primerapartedels00lenf	3
tenochtitlan-nahuatl	Internet Archive: primerapartedels00mija	public domain	https://archive.org/details/primerapartedels00mija	3
tenochtitlan-nahuatl	Internet Archive: sermonarioenleng00juan	public domain	https://archive.org/details/sermonarioenleng00juan	6
tenochtitlan-nahuatl	Internet Archive: sermondenuestrag00pare	public domain	https://archive.org/details/sermondenuestrag00pare	3
tenochtitlan-nahuatl	Internet Archive: tratado-de-hechicerias-y-sortilegios-1553	public domain	https://archive.org/details/tratado-de-hechicerias-y-sortilegios-1553	6
tenochtitlan-nahuatl	Internet Archive: vidaymilagrosdel01juan	public domain	https://archive.org/details/vidaymilagrosdel01juan	2
colonial-doctrina-quechua	Biblioteca Nacional del Peru (BNP Digital): 01da0cc4-5820-45f5-853a-ccb4dbdb1206	public domain	https://hdl.handle.net/20.500.14428/42734	4
colonial-doctrina-quechua	Biblioteca Nacional del Peru (BNP Digital): 01f9c76d-8d82-4aa1-9a2b-d2a1032f5596	public domain	https://hdl.handle.net/20.500.14428/36979	4
colonial-doctrina-quechua	Biblioteca Nacional del Peru (BNP Digital): 0cf811fe-7c5b-4f00-a9ee-1260b8eda192	public domain	https://hdl.handle.net/20.500.14428/43848	4
